Planet Name,Global ESI,Long-term Stability,Atmospheric Retention,Habitability Index,Rank,Habitability_Category
TOI-836 c,0.4084262205015472,0.9999991796036856,0.0338615860850888,0.510985181348897,1276.0,Non-Habitable
Kepler-1444 b,0.410709919211251,1.0,0.0275832141694022,0.5108716024395059,1277.0,Non-Habitable
K2-148 b,0.4124606465939356,0.9999999999989828,0.0228694923999772,0.5108042217766582,1278.0,Non-Habitable
Kepler-292 f,0.4101885430708787,1.0,0.0283755194989576,0.5107693754352309,1279.0,Non-Habitable
K2-6 b,0.4098728640945421,0.9999999999913056,0.0290564006316891,0.5107477121710006,1280.0,Non-Habitable
Kepler-102 f,0.4054528084584416,0.9999976776473558,0.0399567115819068,0.5107170498398088,1281.0,Non-Habitable
HD 125612 d,0.3210157540582817,0.9999357804984084,0.2506565854150819,0.5106199282616798,1282.0,Non-Habitable
NSVS 14256825 b,0.2844198728938305,0.9999474946358704,0.3420278824372006,0.5105997613251165,1283.0,Non-Habitable
Kepler-246 c,0.4115411528928473,1.0,0.0239398422850373,0.5105585449034311,1284.0,Non-Habitable
70 Vir b,0.3231058898092752,0.9999730990225364,0.2450659218170052,0.5105580589747996,1285.0,Non-Habitable
Kepler-252 b,0.412165301265555,1.0,0.0222555199349015,0.5105337546197579,1286.0,Non-Habitable
TOI-1468 b,0.4099831374890249,0.9999999999996844,0.0275559330858821,0.5105027553615942,1287.0,Non-Habitable
Kepler-1050 c,0.411423076359519,1.0,0.0237942397608293,0.5104703861319253,1288.0,Non-Habitable
Kepler-390 c,0.4156863841116006,1.0,0.0126056054970345,0.5103643131552072,1289.0,Non-Habitable
Kepler-1214 b,0.4091294826774454,1.0,0.0284279870234061,0.5102503387434039,1290.0,Non-Habitable
Kepler-297 b,0.3913487693153324,1.0,0.0728057820827889,0.510235541074224,1291.0,Non-Habitable
HD 29399 b,0.3761492387624102,0.9999865861696609,0.110639215860956,0.5101984384042946,1292.0,Non-Habitable
HD 148164 b,0.3813316277083873,0.9999182561319364,0.0975694196716389,0.5101551746281023,1293.0,Non-Habitable
GJ 3942 b,0.4085000539430202,0.999998968292033,0.0293833764108288,0.5101263927412858,1294.0,Non-Habitable
HD 17674 b,0.3872690473465011,0.9999741119385194,0.082171148078296,0.5100609868704655,1295.0,Non-Habitable
HD 136418 b,0.3682764022013486,0.9999547730236864,0.129532368969922,0.5100311068017646,1296.0,Non-Habitable
Kepler-268 c,0.4069538934996078,1.0,0.0326592380299437,0.5100087943557927,1297.0,Non-Habitable
Kepler-1325 b,0.4075853245489452,1.0,0.03058327703135,0.5099093176807427,1298.0,Non-Habitable
Kepler-858 b,0.4048314820137982,1.0,0.0374443631933314,0.5099046136455654,1299.0,Non-Habitable
Kepler-1902 b,0.4112959442814012,1.0,0.0209893028188575,0.509845832704472,1300.0,Non-Habitable
K2-252 b,0.4095413465325155,0.9999999999964684,0.0253188439306674,0.5098344420513317,1301.0,Non-Habitable
Kepler-84 f,0.4085621427885532,1.0,0.0276807582135776,0.5098172230369921,1302.0,Non-Habitable
Kepler-1680 b,0.410378191400624,1.0,0.0230519500911446,0.509799485718541,1303.0,Non-Habitable
KOI-351 d,0.4073362412292647,1.0,0.0306211162645471,0.5097923438675418,1304.0,Non-Habitable
HD 22496 b,0.4084512661654795,0.999999999998789,0.0277884509326482,0.5097833232689061,1305.0,Non-Habitable
K2-203 b,0.4099614131989542,0.99999999999752,0.0231046440063339,0.5096016353999998,1306.0,Non-Habitable
HD 165131 b,0.2535751024010529,0.9996669847280072,0.414172639335296,0.5095221744859878,1307.0,Non-Habitable
Kepler-81 c,0.4093913236983934,1.0,0.0237922793373348,0.5094541177166636,1308.0,Non-Habitable
K2-126 b,0.408263789439123,0.999999448020531,0.0265277235893248,0.5094372738435857,1309.0,Non-Habitable
