P_NAME,P_MASS,P_RADIUS,P_DISTANCE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_HABITABLE,P_DENSITY,S_TEMPERATURE,S_MASS,S_RADIUS,S_LUMINOSITY
WASP-147 b,87.40325,12.498,0.0549,4.60273,0.0549,0.0,2.6444998,6.9933789,0.55955984,642.47364,1282.5182,1415.2899472,0,0.044771951,5702.0,1.04,1.43,1.936422
WASP-89 b,1875.197,11.657,0.043495266,3.3564227,0.0427,0.193,12.683235,160.86446,13.799816,253.73902,1009.5191,1116.0829336000002,0,1.1838223,5130.0,0.92,0.88,0.45394162
TOI-157 b,375.0394,14.415,0.03138,2.0845435,0.03138,0.0,5.1007158,26.017301,1.804877,1063.3938,1454.6993,1604.0004328000002,0,0.12520825,5404.0,0.95,1.17,1.0471285
TOI-421 b,7.17,2.68,0.056743932,5.19672,0.056,0.163,1.6356568,2.6753731,0.99827356,174.36984,921.04187,1019.11188952,0,0.37249013,5325.0,0.85,0.87,0.53951062
TOI-125 b,9.5,2.726,0.052835901,4.65382,0.05186,0.194,1.8668047,3.4849596,1.2784151,196.63702,947.11234,1047.68512464,0,0.46897107,5320.0,0.86,0.85,0.51880004
WASP-106 b,514.8846,11.433,0.0917,9.28971,0.0917,0.0,6.7108086,45.034951,3.9390319,314.2399,1072.5438,1185.1580048,0,0.34453178,6055.0,0.93,1.31,2.6424088
L 98-59 c,2.42,1.34,0.0317,3.6906745,0.0317,0.0,1.3438639,1.8059701,1.3477389,11.217123,466.19765,526.49699,0,1.0057753,3412.0,0.31,0.31,0.011271975
WASP-55 b,193.8763,14.908,0.0558,4.46563,0.0558,0.0,3.6062238,13.00485,0.87234034,467.44617,1184.4933,1307.8546568000004,0,0.058514914,5900.0,1.11,1.09,1.4554591
pi Men c,3.63,2.06,0.069204551,6.26791,0.069,0.077,1.3274547,1.7621359,0.85540579,304.50408,1062.9528,1200.4381,0,0.41524553,6037.0,1.1,1.19,1.4454398
HATS-53 b,189.10885,15.02,0.050118009,3.8537768,0.04753,0.33,3.5483051,12.590469,0.83824696,520.11712,1190.7483,1314.7101368,0,0.055808719,5644.0,0.96,1.1,1.1091748
